2026-03-29 22:17:57,700 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260329_213549_qwen-distilled\logs\distribution_20260329_221757.log
2026-03-29 22:17:57,733 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-29 22:17:57,787 | WARNING | distribution_benchmark | No rows for qid=Q46 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,809 | WARNING | distribution_benchmark | No rows for qid=Q57 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,831 | WARNING | distribution_benchmark | No rows for qid=Q59 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,857 | WARNING | distribution_benchmark | No rows for qid=Q106 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,880 | WARNING | distribution_benchmark | No rows for qid=Q158 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,903 | WARNING | distribution_benchmark | No rows for qid=Q164 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,929 | WARNING | distribution_benchmark | No rows for qid=Q199 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,959 | WARNING | distribution_benchmark | No rows for qid=Q235 group={'continent': 'Latin America', 'urban_rural': 'Urban', 'education': 'Upper to Post Secondary'}
2026-03-29 22:17:57,963 | INFO | distribution_benchmark | Built subset shape=(200, 6)
2026-03-29 22:18:03,013 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=200 missing=0
2026-03-29 22:18:03,077 | INFO | distribution_benchmark | Resume status: already_completed=0 pending=200 total=200
2026-03-29 22:18:03,509 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-29 22:18:19,033 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-29 22:18:19,035 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=qwen3.5-4b-claude-opus-4.6-distilled instance_id=qwen3.5-4b-claude-opus-4.6-distilled
2026-03-29 22:18:24,840 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:18:29,761 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:18:35,922 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:18:42,459 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:18:49,384 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:18:57,301 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:03,987 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:09,997 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:16,075 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:21,716 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:28,777 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:35,087 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:40,610 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:46,115 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:51,971 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:19:59,212 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:04,633 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:10,580 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:16,298 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:22,074 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:29,632 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:35,336 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:40,857 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:46,133 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-29 22:20:51,147 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
