2026-03-30 06:45:13,744 | INFO | distribution_benchmark | Logging initialized. Log file: outputs\runs\distribution_20260330_064513_llama-targeted-followup\logs\distribution_20260330_064513.log
2026-03-30 06:45:13,803 | INFO | distribution_benchmark | Loaded samples: shape=(8280, 6) columns=['Question', 'Question Category', 'Continent', 'Urban / Rural', 'Education', 'D_INTERVIEW']
2026-03-30 06:45:14,695 | INFO | distribution_benchmark | Built subset shape=(360, 6)
2026-03-30 06:45:26,909 | INFO | distribution_benchmark | Attached HUMAN_SCORE: attached=360 missing=0
2026-03-30 06:45:27,355 | INFO | distribution_benchmark | Resume status: already_completed=0 total_rows=360
2026-03-30 06:45:27,922 | INFO | httpx | HTTP Request: GET <LOCAL_ENDPOINT>/api/v1/models "HTTP/1.1 200 OK"
2026-03-30 06:45:51,257 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/api/v1/models/load "HTTP/1.1 200 OK"
2026-03-30 06:45:51,258 | INFO | src.lmstudio_rest | Loaded model via LM Studio REST | model=hermes-3-llama-3.2-3b instance_id=hermes-3-llama-3.2-3b:2
2026-03-30 06:45:58,811 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:01,193 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:03,652 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:06,512 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:08,829 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:11,606 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:14,086 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-30 06:46:16,568 | INFO | httpx | HTTP Request: POST <LOCAL_ENDPOINT>/v1/chat/completions "HTTP/1.1 200 OK"
